No_empleados,cubrimiento_EM,concimiento_cubrimiento_EM,recursos_EM,dejar_trabajo_EM,habla_jefe_EM_flag,hablar_companeros_EM_flag,hablar_companeros_EM_conmigo,importacia_salud_fisica,importancia_salud_mental,trabajado_otras_empresa,empresa_anterior_tecnologia,empresa_anterior_cargo_tecnologia,empresa_anterior_hablar_jefe_EM,empresa_anterior_hablar_jefe_EM_flag,empresa_anterior_hablar_companeros_EM,empresa_anterior_hablar_companeros_conmigo,empresa_anterior_importancia_salud_fisica,empresa_anterior_importancia_salud_mental,tiene_EM,EM_familiar,EM_interfiere_trabajo_buen_tratamiento,EM_interfiere_trabajo_mal_tratamiento,miedo_hablar_EM,hablar_amigos_familia_EM,entrevista_trabajo_hablar_EM,identificado_EM_trabajo,reaccion_companeros_EM,no_apoyo_EM,apoyo_EM,apoyo_industria_tecnologia_EM,dispuesto_contar_experiencia,edad,genero
100-500,Yes,1,No,Very easy,1.0,1.0,0.0,5.0,5.0,1,1.0,Some did,Some of my previous supervisors,0.0,0.0,1.0,5.0,5.0,0,Yes,Not applicable to me,Not applicable to me,No,6,No,0.0,8.0,"Yes, I observed","Yes, I observed",2.0,0.0,40.0,0
More than 1000,Yes,1,Yes,I don't know,0.0,1.0,1.0,7.0,4.0,1,0.0,Some did,Some of my previous supervisors,1.0,0.0,1.0,5.0,6.0,1,Yes,Sometimes,Sometimes,No,8,Maybe,0.0,5.0,Maybe/Not sure,"Yes, I experienced",4.0,1.0,36.0,0
More than 1000,Yes,1,Yes,Somewhat easy,0.0,0.0,1.0,7.0,7.0,1,1.0,Some did,Some of my previous supervisors,0.0,0.0,1.0,2.0,2.0,0,No,Not applicable to me,Not applicable to me,No,7,Maybe,0.0,5.0,Maybe/Not sure,"Yes, I observed",3.0,0.0,43.0,1
100-500,Yes,1,Yes,Neither easy nor difficult,1.0,1.0,1.0,8.0,6.0,1,1.0,Some did,Some of my previous supervisors,1.0,1.0,1.0,8.0,6.0,1,Yes,Sometimes,Often,Yes,3,No,0.0,2.0,Maybe/Not sure,Maybe/Not sure,2.0,1.0,38.0,1
26-100,I don't know,0,No,Somewhat easy,0.0,0.0,0.0,6.0,6.0,1,0.0,Some did,Some of my previous supervisors,0.0,0.0,0.0,6.0,6.0,0,I don't know,Not applicable to me,Not applicable to me,No,6,Maybe,0.0,7.0,No,No,3.0,0.0,42.0,1
500-1000,No,1,Yes,Neither easy nor difficult,1.0,1.0,1.0,8.0,5.0,1,1.0,"No, none did",Some of my previous supervisors,0.0,0.0,0.0,8.0,3.0,1,I don't know,Sometimes,Often,Maybe,7,Yes,1.0,6.0,"Yes, I experienced",Maybe/Not sure,1.0,1.0,46.0,1
6-25,No,1,No,Difficult,0.0,1.0,0.0,4.0,0.0,0,1.0,Some did,Some of my previous supervisors,0.0,0.0,0.0,5.0,5.0,1,Yes,Rarely,Often,Yes,10,Maybe,0.0,2.0,"Yes, I observed",No,3.0,1.0,25.0,1
100-500,Yes,1,No,Neither easy nor difficult,0.0,1.0,1.0,5.0,5.0,1,1.0,"Yes, they all did","No, none of my previous supervisors",0.0,0.0,0.0,5.0,0.0,1,Yes,Not applicable to me,Not applicable to me,Yes,8,Yes,0.0,5.0,"Yes, I observed","Yes, I observed",2.0,1.0,24.0,0
1-5,I don't know,0,No,Difficult,0.0,0.0,0.0,3.0,6.0,1,1.0,"No, none did","No, none of my previous supervisors",0.0,0.0,0.0,3.0,3.0,0,Yes,Not applicable to me,Not applicable to me,No,6,Maybe,0.0,5.0,No,No,4.0,0.0,26.0,1
More than 1000,Yes,1,Yes,Somewhat easy,0.0,1.0,1.0,5.0,1.0,1,1.0,Some did,Some of my previous supervisors,1.0,0.0,0.0,5.0,1.0,1,Yes,Sometimes,Often,Yes,8,No,0.0,3.0,"Yes, I experienced","Yes, I experienced",2.0,0.0,43.0,1
More than 1000,Yes,1,Yes,I don't know,0.0,0.0,0.0,8.0,5.0,1,0.0,"Yes, they all did",Some of my previous supervisors,1.0,1.0,1.0,8.0,7.0,1,I don't know,Often,Often,Maybe,5,No,0.0,5.0,No,"Yes, I experienced",2.0,0.0,25.0,0
More than 1000,Yes,0,I don't know,I don't know,0.0,0.0,0.0,7.0,6.0,1,1.0,Some did,"No, none of my previous supervisors",0.0,0.0,0.0,6.0,4.0,1,Yes,Rarely,Often,No,3,No,0.0,4.0,No,No,3.0,0.0,34.0,1
26-100,Yes,1,I don't know,Very easy,0.0,1.0,1.0,8.0,8.0,1,0.0,I don't know,Some of my previous supervisors,0.0,1.0,1.0,5.0,4.0,0,No,Not applicable to me,Not applicable to me,No,6,No,0.0,4.0,Maybe/Not sure,Maybe/Not sure,3.0,0.0,28.0,0
1-5,I don't know,0,No,Somewhat easy,1.0,0.0,0.0,1.0,7.0,0,1.0,Some did,Some of my previous supervisors,0.0,0.0,0.0,5.0,5.0,1,No,Not applicable to me,Often,No,5,No,0.0,2.0,Maybe/Not sure,"Yes, I experienced",3.0,0.0,24.0,1
More than 1000,I don't know,0,No,I don't know,1.0,1.0,0.0,5.0,3.0,1,1.0,I don't know,Some of my previous supervisors,1.0,1.0,0.0,6.0,4.0,1,I don't know,Sometimes,Sometimes,Maybe,7,Yes,1.0,5.0,"Yes, I experienced",Maybe/Not sure,2.0,1.0,54.0,1
More than 1000,Yes,1,Yes,Somewhat easy,1.0,1.0,1.0,7.0,5.0,1,0.0,"Yes, they all did","Yes, all of my previous supervisors",0.0,1.0,1.0,4.0,4.0,1,Yes,Sometimes,Sometimes,Yes,7,Maybe,0.0,5.0,"Yes, I observed","Yes, I experienced",2.0,0.0,47.0,1
More than 1000,Yes,1,I don't know,I don't know,0.0,0.0,1.0,5.0,5.0,1,1.0,Some did,Some of my previous supervisors,0.0,0.0,1.0,7.0,7.0,1,I don't know,Rarely,Rarely,No,8,No,0.0,3.0,Maybe/Not sure,"Yes, I observed",3.0,1.0,48.0,1
More than 1000,I don't know,0,Yes,Somewhat easy,1.0,1.0,0.0,6.0,3.0,1,1.0,Some did,Some of my previous supervisors,1.0,1.0,0.0,6.0,6.0,1,Yes,Sometimes,Often,No,4,Maybe,0.0,5.0,No,No,3.0,1.0,35.0,1
26-100,I don't know,0,I don't know,Somewhat easy,0.0,0.0,0.0,5.0,5.0,1,0.0,"No, none did",Some of my previous supervisors,0.0,1.0,1.0,2.0,0.0,0,I don't know,Not applicable to me,Not applicable to me,No,10,No,0.0,10.0,"Yes, I observed",Maybe/Not sure,2.0,0.0,34.0,1
500-1000,Yes,1,No,Somewhat easy,0.0,1.0,1.0,8.0,7.0,1,1.0,"Yes, they all did",Some of my previous supervisors,0.0,0.0,0.0,6.0,5.0,1,Yes,Not applicable to me,Not applicable to me,No,6,No,0.0,7.0,Maybe/Not sure,"Yes, I observed",3.0,1.0,25.0,1
100-500,Yes,0,I don't know,I don't know,0.0,0.0,0.0,7.0,5.0,1,0.0,I don't know,"No, none of my previous supervisors",0.0,0.0,0.0,7.0,5.0,1,I don't know,Rarely,Often,Maybe,2,No,0.0,5.0,Maybe/Not sure,Maybe/Not sure,3.0,1.0,34.0,1
100-500,Yes,1,No,Difficult,0.0,0.0,0.0,2.0,1.0,1,0.0,I don't know,"No, none of my previous supervisors",0.0,0.0,0.0,0.0,0.0,0,Yes,Rarely,Sometimes,Yes,3,No,0.0,3.0,"Yes, I observed",No,1.0,0.0,42.0,1
100-500,I don't know,0,No,Very easy,0.0,1.0,1.0,5.0,5.0,0,1.0,Some did,Some of my previous supervisors,0.0,0.0,0.0,5.0,5.0,1,Yes,Rarely,Often,No,8,No,0.0,6.0,No,"Yes, I observed",2.0,0.0,27.0,1
More than 1000,Yes,1,No,Somewhat difficult,1.0,0.0,0.0,8.0,5.0,0,1.0,Some did,Some of my previous supervisors,0.0,0.0,0.0,5.0,5.0,1,Yes,Sometimes,Often,No,7,No,0.0,4.0,No,No,3.0,0.0,33.0,0
26-100,Yes,1,I don't know,Very easy,0.0,1.0,1.0,5.0,4.0,1,0.0,"Yes, they all did","Yes, all of my previous supervisors",1.0,1.0,0.0,7.0,7.0,1,I don't know,Rarely,Often,No,7,No,0.0,3.0,"Yes, I observed",No,3.0,1.0,27.0,0
